date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,isST
2012-01-04,sh.600011,3.5941374,3.62741645,3.54754673,3.56751416,3.56085835,8211932,44118669.0,0.220649,1,0.1869,0
2012-01-05,sh.600011,3.56085835,3.60079321,3.48098863,3.49430025,3.56751416,10441719,55854573.0,0.280562,1,-2.0522,0
2012-01-06,sh.600011,3.4610212,3.60744902,3.45436539,3.54089092,3.49430025,17073106,90739958.0,0.458743,1,1.3333,0
2012-01-09,sh.600011,3.54754673,3.68066293,3.51426768,3.62076064,3.54089092,26043496,142607881.0,0.699771,1,2.2556,0
2012-01-10,sh.600011,3.62076064,3.66735131,3.57416997,3.65403969,3.62076064,16498604,89799756.0,0.443306,1,0.9191,0
2012-01-11,sh.600011,3.64072807,3.67400712,3.54089092,3.58748159,3.65403969,15066380,81922287.0,0.404823,1,-1.8215,0
2012-01-12,sh.600011,3.57416997,3.65403969,3.57416997,3.57416997,3.58748159,10374107,56059314.0,0.278745,1,-0.3711,0
2012-01-13,sh.600011,3.58082578,3.60744902,3.44105377,3.55420254,3.57416997,6727936,35476640.0,0.180775,1,-0.5587,0
2012-01-16,sh.600011,3.5275793,3.56751416,3.46767701,3.47433282,3.55420254,5473539,28777515.0,0.14707,1,-2.2472,0
2012-01-17,sh.600011,3.45436539,3.81377913,3.45436539,3.65403969,3.47433282,6637085,36495752.0,0.178334,1,5.1724,0
2012-01-18,sh.600011,3.64738388,3.68731874,3.51426768,3.53423511,3.65403969,4846416,26256885.0,0.13022,1,-3.2787,0
2012-01-19,sh.600011,3.53423511,3.6606955,3.51426768,3.56751416,3.53423511,3910993,21162770.0,0.105086,1,0.9416,0
2012-01-20,sh.600011,3.55420254,3.64738388,3.55420254,3.61410483,3.56751416,3986664,21552762.0,0.107119,1,1.306,0
2012-01-30,sh.600011,3.60744902,3.68066293,3.54754673,3.57416997,3.61410483,12101070,66232028.0,0.325148,1,-1.105,0
2012-01-31,sh.600011,3.53423511,3.74056522,3.52092349,3.6606955,3.57416997,19936068,109831401.0,0.535669,1,2.4209,0
2012-02-01,sh.600011,3.65403969,3.7272536,3.62741645,3.6606955,3.6606955,18931409,104627801.0,0.508674,1,0.0,0
2012-02-02,sh.600011,3.64738388,3.69397455,3.61410483,3.68731874,3.6606955,6838413,37544149.0,0.183744,1,0.7273,0
2012-02-03,sh.600011,3.68731874,3.68731874,3.64072807,3.67400712,3.68731874,6069380,33458175.0,0.16308,1,-0.361,0
2012-02-06,sh.600011,3.67400712,3.70728617,3.60744902,3.63407226,3.67400712,11823222,65120942.0,0.317682,1,-1.087,0
