date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,isST
2022-01-04,sh.600011,9.35551232,9.54413152,8.41241632,8.487864,9.13860024,147920679,1402066409.91,1.345,1,-7.1207,0
2022-01-05,sh.600011,8.28981384,8.33696864,7.8276968,8.0634708,8.487864,153947985,1313480555.56,1.3998,1,-5.0,0
2022-01-06,sh.600011,7.95973024,8.04460888,7.74281816,7.86542064,8.0634708,135480179,1134339649.91,1.2319,1,-2.4561,0
2022-01-07,sh.600011,7.85598968,7.91257544,7.47875128,7.53533704,7.86542064,116730930,946290293.45,1.0614,1,-4.1966,0
2022-01-10,sh.600011,7.34671784,7.4504584,7.2146844,7.2618392,7.53533704,93949342,729283826.49,0.8543,1,-3.6295,0
2022-01-11,sh.600011,7.25240824,7.5919228,7.2146844,7.29956304,7.2618392,149248414,1169588263.8,1.3571,1,0.5195,0
2022-01-12,sh.600011,7.36557976,7.47875128,7.17696056,7.34671784,7.29956304,89707292,694844606.95,0.8157,1,0.646,0
2022-01-13,sh.600011,7.29956304,7.29956304,6.90346272,7.14866768,7.34671784,141560754,1065390079.56,1.2872,1,-2.6958,0
2022-01-14,sh.600011,7.01663424,7.2618392,6.91289368,6.99777232,7.14866768,125463300,943649475.82,1.1408,1,-2.1108,0
2022-01-17,sh.600011,7.08265096,7.38444168,7.0260652,7.13923672,6.99777232,124004857,950852166.83,1.1276,1,2.0216,0
2022-01-18,sh.600011,7.10151288,7.85598968,7.06378904,7.74281816,7.13923672,267914609,2167094909.56,2.4361,1,8.4544,0
2022-01-19,sh.600011,7.56362992,8.07290176,7.45988936,7.8276968,7.74281816,214817735,1766685563.53,1.9533,1,1.0962,0
2022-01-20,sh.600011,7.78997296,8.1577804,7.52590608,7.95029928,7.8276968,172231397,1431187219.65,1.5661,1,1.5663,0
2022-01-21,sh.600011,7.85598968,8.4407092,7.52590608,7.7333872,7.95029928,247966168,2103333247.9,2.2547,1,-2.7284,0
2022-01-24,sh.600011,7.86542064,8.24265904,7.61078472,8.02574696,7.7333872,130070070,1097140275.16,1.1827,1,3.7805,0
2022-01-25,sh.600011,7.89371352,7.97859216,7.36557976,7.4033036,8.02574696,110452307,892864343.74,1.0043,1,-7.7556,0
2022-01-26,sh.600011,7.53533704,7.75224912,7.37501072,7.62021568,7.4033036,121714868,980905806.59,1.1067,1,2.9299,0
