date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,isST
2022-01-04,sh.600015,4.3258096,4.35670824,4.31036028,4.34898358,4.3258096,26740105,150128761.15,0.2085,1,0.5357,0
2022-01-05,sh.600015,4.34125892,4.39533154,4.34125892,4.37988222,4.34898358,36018508,203766768.53,0.2809,1,0.7105,0
2022-01-06,sh.600015,4.37215756,4.37988222,4.35670824,4.35670824,4.37988222,20367405,115111934.72,0.1588,1,-0.5291,0
2022-01-07,sh.600015,4.35670824,4.42623018,4.35670824,4.4030562,4.35670824,37148563,211523315.28,0.2897,1,1.0638,0
2022-01-10,sh.600015,4.41078086,4.4416795,4.41078086,4.43395484,4.4030562,32508642,186231783.11,0.2535,1,0.7018,0
2022-01-11,sh.600015,4.43395484,4.48802746,4.42623018,4.4416795,4.43395484,34697685,200200773.02,0.2706,1,0.1742,0
2022-01-12,sh.600015,4.44940416,4.47257814,4.41078086,4.45712882,4.4416795,29507469,169719517.28,0.2301,1,0.3478,0
2022-01-13,sh.600015,4.45712882,4.49575212,4.4416795,4.46485348,4.45712882,27104962,157093526.92,0.2114,1,0.1733,0
2022-01-14,sh.600015,4.45712882,4.46485348,4.38760688,4.39533154,4.46485348,28669342,163659343.48,0.2236,1,-1.5571,0
2022-01-17,sh.600015,4.38760688,4.43395484,4.38760688,4.39533154,4.39533154,15142252,86381684.77,0.1181,1,0.0,0
2022-01-18,sh.600015,4.39533154,4.4416795,4.37215756,4.4416795,4.39533154,34514386,197004257.72,0.2692,1,1.0545,0
2022-01-19,sh.600015,4.42623018,4.45712882,4.42623018,4.44940416,4.4416795,28128718,161793452.71,0.2194,1,0.1739,0
2022-01-20,sh.600015,4.44940416,4.50347678,4.43395484,4.46485348,4.44940416,40837359,236387341.79,0.3185,1,0.3472,0
2022-01-21,sh.600015,4.46485348,4.47257814,4.4030562,4.43395484,4.46485348,34580386,198511477.21,0.2697,1,-0.692,0
2022-01-24,sh.600015,4.42623018,4.44940416,4.4030562,4.42623018,4.43395484,20434521,117163758.76,0.1594,1,-0.1742,0
2022-01-25,sh.600015,4.42623018,4.42623018,4.34898358,4.34898358,4.42623018,30067131,170826911.75,0.2345,1,-1.7452,0
2022-01-26,sh.600015,4.3644329,4.38760688,4.34898358,4.38760688,4.34898358,20917735,118357666.19,0.1631,1,0.8881,0
2022-01-27,sh.600015,4.38760688,4.4030562,4.34898358,4.3644329,4.38760688,23831711,134920605.98,0.1859,1,-0.5282,0
2022-01-28,sh.600015,4.3644329,4.38760688,4.34898358,4.34898358,4.3644329,27381215,154724633.6,0.2135,1,-0.354,0
2022-02-07,sh.600015,4.37988222,4.46485348,4.3644329,4.45712882,4.34898358,41895038,239638044.43,0.3267,1,2.4867,0
2022-02-08,sh.600015,4.4416795,4.51120144,4.43395484,4.51120144,4.45712882,52483533,304632861.01,0.4093,1,1.2132,0
2022-02-09,sh.600015,4.49575212,4.52665076,4.47257814,4.49575212,4.51120144,39382929,229341230.87,0.3071,1,-0.3425,0
2022-02-10,sh.600015,4.49575212,4.5189261,4.47257814,4.5189261,4.49575212,35657990,207937660.38,0.2781,1,0.5155,0
2022-02-11,sh.600015,4.50347678,4.54982474,4.49575212,4.5189261,4.5189261,47400536,277649652.07,0.3697,1,0.0,0
2022-02-14,sh.600015,4.5189261,4.5189261,4.43395484,4.44940416,4.5189261,40384891,233552346.06,0.3149,1,-1.5385,0
2022-02-15,sh.600015,4.4416795,4.46485348,4.41078086,4.41850552,4.44940416,26584435,152566766.98,0.2073,1,-0.6944,0
2022-02-16,sh.600015,4.43395484,4.47257814,4.43395484,4.4416795,4.41850552,22808301,131532043.67,0.1779,1,0.5245,0
2022-02-17,sh.600015,4.4416795,4.47257814,4.42623018,4.42623018,4.4416795,21064506,121183478.68,0.1643,1,-0.3478,0
2022-02-18,sh.600015,4.42623018,4.47257814,4.41078086,4.46485348,4.42623018,26789766,153953184.4,0.2089,1,0.8726,0
2022-02-21,sh.600015,4.45712882,4.45712882,4.41850552,4.4416795,4.46485348,36376156,208902014.86,0.2837,1,-0.519,0
2022-02-22,sh.600015,4.43395484,4.47257814,4.41078086,4.43395484,4.4416795,45873867,263513593.72,0.3578,1,-0.1739,0
2022-02-23,sh.600015,4.44940416,4.46485348,4.41850552,4.43395484,4.43395484,39167724,224895441.07,0.3055,1,0.0,0
2022-02-24,sh.600015,4.41850552,4.42623018,4.33353426,4.34898358,4.43395484,46776020,265414727.86,0.3648,1,-1.9164,0
2022-02-25,sh.600015,4.35670824,4.37988222,4.34125892,4.35670824,4.34898358,27912922,157498091.64,0.2177,1,0.1776,0
2022-02-28,sh.600015,4.35670824,4.35670824,4.31036028,4.34898358,4.35670824,41694949,234366543.0,0.3252,1,-0.1773,0
2022-03-01,sh.600015,4.34898358,4.37988222,4.34125892,4.37215756,4.34898358,20977187,118350051.0,0.1636,1,0.5329,0
2022-03-02,sh.600015,4.35670824,4.38760688,4.34898358,4.3644329,4.37215756,24719835,139631471.0,0.1928,1,-0.1767,0
2022-03-03,sh.600015,4.37215756,4.41078086,4.3644329,4.39533154,4.3644329,41394239,235161831.0,0.3228,1,0.708,0
2022-03-04,sh.600015,4.38760688,4.39533154,4.34125892,4.37988222,4.39533154,29368803,166117335.0,0.229,1,-0.3515,0
2022-03-07,sh.600015,4.3644329,4.37215756,4.31808494,4.3258096,4.37988222,27152267,152796056.0,0.2118,1,-1.2346,0
2022-03-08,sh.600015,4.3258096,4.33353426,4.25628766,4.26401232,4.3258096,36099427,200716243.0,0.2815,1,-1.4286,0
2022-03-09,sh.600015,4.27173698,4.27946164,4.0940698,4.17904106,4.26401232,49775862,270508368.0,0.3882,1,-1.9928,0
2022-03-10,sh.600015,4.2099397,4.23311368,4.17904106,4.18676572,4.17904106,28079652,152837352.0,0.219,1,0.1848,0
2022-03-11,sh.600015,4.1713164,4.2099397,4.10951912,4.20221504,4.18676572,32073769,172128682.0,0.2501,1,0.369,0
2022-03-14,sh.600015,4.16359174,4.22538902,4.14814242,4.14814242,4.20221504,26739531,144700716.0,0.2085,1,-1.2868,0
2022-03-15,sh.600015,4.14041776,4.14041776,3.9781999,3.9781999,4.14814242,55195899,289656320.0,0.4305,1,-4.0968,0
2022-03-16,sh.600015,4.0168232,4.07089582,3.9395766,4.0554465,3.9781999,44160087,228968321.0,0.3444,1,1.9417,0
2022-03-17,sh.600015,4.0940698,4.10951912,4.0554465,4.06317116,4.0554465,34491222,182108480.0,0.269,1,0.1905,0
2022-03-18,sh.600015,4.04772184,4.14814242,4.03999718,4.12496844,4.06317116,38329454,203259726.55,0.2989,1,1.5209,0
2022-03-21,sh.600015,4.11724378,4.12496844,4.07089582,4.08634514,4.12496844,24082901,127688290.38,0.1878,1,-0.9363,0
2022-03-22,sh.600015,4.07862048,4.1713164,4.07862048,4.14814242,4.08634514,28713960,153709228.0,0.2239,1,1.5123,0
2022-03-23,sh.600015,4.14814242,4.15586708,4.10951912,4.14041776,4.14814242,23810368,127494461.8,0.1857,1,-0.1862,0
2022-03-24,sh.600015,4.12496844,4.15586708,4.10951912,4.12496844,4.14041776,14281298,76362547.88,0.1114,1,-0.3731,0
2022-03-25,sh.600015,4.12496844,4.16359174,4.11724378,4.14041776,4.12496844,20681664,110789142.44,0.1613,1,0.3745,0
2022-03-28,sh.600015,4.12496844,4.18676572,4.07862048,4.18676572,4.14041776,27398738,147094460.66,0.2137,1,1.1194,0
2022-03-29,sh.600015,4.1713164,4.18676572,4.14814242,4.1713164,4.18676572,19406571,104800338.64,0.1513,1,-0.369,0
2022-03-30,sh.600015,4.1713164,4.23311368,4.1713164,4.22538902,4.1713164,29209329,159054663.0,0.2278,1,1.2963,0
2022-03-31,sh.600015,4.21766436,4.31808494,4.20221504,4.29491096,4.22538902,41591230,230602704.12,0.3244,1,1.6453,0
2022-04-01,sh.600015,4.27173698,4.35670824,4.27173698,4.35670824,4.29491096,40651792,227361975.1,0.317,1,1.4388,0
2022-04-06,sh.600015,4.33353426,4.4416795,4.3258096,4.42623018,4.35670824,60593025,345896466.67,0.4725,1,1.5957,0
2022-04-07,sh.600015,4.41850552,4.44940416,4.37215756,4.37215756,4.42623018,45997338,262301096.3,0.3587,1,-1.2216,0
2022-04-08,sh.600015,4.37215756,4.41850552,4.34125892,4.4030562,4.37215756,34937449,197977171.39,0.2725,1,0.7067,0
2022-04-11,sh.600015,4.39533154,4.4030562,4.33353426,4.34898358,4.4030562,28413362,160615707.62,0.2216,1,-1.2281,0
2022-04-12,sh.600015,4.35670824,4.39533154,4.30263562,4.37215756,4.34898358,32190875,181474780.29,0.251,1,0.5329,0
2022-04-13,sh.600015,4.34898358,4.39533154,4.34125892,4.34898358,4.37215756,21651161,122512387.99,0.1689,1,-0.53,0
2022-04-14,sh.600015,4.3644329,4.37988222,4.34898358,4.35670824,4.34898358,15627321,88326721.69,0.1219,1,0.1776,0
2022-04-15,sh.600015,4.34898358,4.4030562,4.33353426,4.37988222,4.35670824,25720490,145763369.49,0.2006,1,0.5319,0
2022-04-18,sh.600015,4.34898358,4.3644329,4.2871863,4.29491096,4.37988222,25452318,142310122.78,0.1985,1,-1.94,0
2022-04-19,sh.600015,4.2871863,4.33353426,4.27946164,4.33353426,4.29491096,17593384,98235975.52,0.1372,1,0.8993,0
2022-04-20,sh.600015,4.33353426,4.34898358,4.29491096,4.30263562,4.33353426,20772419,116226354.01,0.162,1,-0.713,0
2022-04-21,sh.600015,4.2871863,4.33353426,4.248563,4.27173698,4.30263562,26186790,145692532.41,0.2042,1,-0.7181,0
2022-04-22,sh.600015,4.25628766,4.35670824,4.248563,4.3258096,4.27173698,26982819,150656599.11,0.2104,1,1.2658,0
2022-04-25,sh.600015,4.29491096,4.34125892,4.2099397,4.2099397,4.3258096,38214323,211841481.62,0.298,1,-2.6786,0
2022-04-26,sh.600015,4.21766436,4.25628766,4.15586708,4.15586708,4.2099397,30376985,165384293.36,0.2369,1,-1.2844,0
2022-04-27,sh.600015,4.14814242,4.1713164,4.10951912,4.15586708,4.15586708,37031157,198525820.09,0.2888,1,0.0,0
